//<Encoding>UTF-8</Encoding>
Cruise	QF	Station	QF	Type	QF	yyyy-mm-ddThh:mm:ss.sss	QF	Longitude [degrees_east]	QF	Latitude [degrees_north]	QF	QV:ODV:STATION	Dummy Var	Longitude	Latitude	Time [yr]	Day of Year	Longitude @ Dummy Var=first	Latitude @ Dummy Var=first	Time [yr] @ Dummy Var=first	Day of Year @ Dummy Var=first	Depth [m]  at  Oxygen [ml/l]=0.45 @ Depth [m]  at  Oxygen [ml/l]=0.45=first
WOA13_1.00deg_1955-2012_Annual	1	26977	1	B	1		1	249.50000	1	17.50000	1	1	0	249.5	17.5			249.5	17.5			141.905
WOA13_1.00deg_1955-2012_Annual	1	26978	1	B	1		1	250.50000	1	17.50000	1	1	0	250.5	17.5			250.5	17.5			135.106
WOA13_1.00deg_1955-2012_Annual	1	26979	1	B	1		1	251.50000	1	17.50000	1	1	0	251.5	17.5			251.5	17.5			131.144
WOA13_1.00deg_1955-2012_Annual	1	26980	1	B	1		1	252.50000	1	17.50000	1	1	0	252.5	17.5			252.5	17.5			130.732
WOA13_1.00deg_1955-2012_Annual	1	26981	1	B	1		1	253.50000	1	17.50000	1	1	0	253.5	17.5			253.5	17.5			114.817
WOA13_1.00deg_1955-2012_Annual	1	26982	1	B	1		1	254.50000	1	17.50000	1	1	0	254.5	17.5			254.5	17.5			103.937
WOA13_1.00deg_1955-2012_Annual	1	26983	1	B	1		1	255.50000	1	17.50000	1	1	0	255.5	17.5			255.5	17.5			95.578
WOA13_1.00deg_1955-2012_Annual	1	26984	1	B	1		1	256.50000	1	17.50000	1	1	0	256.5	17.5			256.5	17.5			92.4088
WOA13_1.00deg_1955-2012_Annual	1	26985	1	B	1		1	257.50000	1	17.50000	1	1	0	257.5	17.5			257.5	17.5			83.9307
WOA13_1.00deg_1955-2012_Annual	1	27211	1	B	1		1	240.50000	1	18.50000	1	1	0	240.5	18.5			240.5	18.5			256.341
WOA13_1.00deg_1955-2012_Annual	1	27212	1	B	1		1	241.50000	1	18.50000	1	1	0	241.5	18.5			241.5	18.5			248.735
WOA13_1.00deg_1955-2012_Annual	1	27213	1	B	1		1	242.50000	1	18.50000	1	1	0	242.5	18.5			242.5	18.5			235.102
WOA13_1.00deg_1955-2012_Annual	1	27214	1	B	1		1	243.50000	1	18.50000	1	1	0	243.5	18.5			243.5	18.5			216.964
WOA13_1.00deg_1955-2012_Annual	1	27215	1	B	1		1	244.50000	1	18.50000	1	1	0	244.5	18.5			244.5	18.5			203.686
WOA13_1.00deg_1955-2012_Annual	1	27216	1	B	1		1	245.50000	1	18.50000	1	1	0	245.5	18.5			245.5	18.5			192.535
WOA13_1.00deg_1955-2012_Annual	1	27217	1	B	1		1	246.50000	1	18.50000	1	1	0	246.5	18.5			246.5	18.5			179.921
WOA13_1.00deg_1955-2012_Annual	1	27218	1	B	1		1	247.50000	1	18.50000	1	1	0	247.5	18.5			247.5	18.5			165.645
WOA13_1.00deg_1955-2012_Annual	1	27219	1	B	1		1	248.50000	1	18.50000	1	1	0	248.5	18.5			248.5	18.5			155.829
WOA13_1.00deg_1955-2012_Annual	1	27220	1	B	1		1	249.50000	1	18.50000	1	1	0	249.5	18.5			249.5	18.5			145.982
WOA13_1.00deg_1955-2012_Annual	1	27221	1	B	1		1	250.50000	1	18.50000	1	1	0	250.5	18.5			250.5	18.5			136.231
WOA13_1.00deg_1955-2012_Annual	1	27222	1	B	1		1	251.50000	1	18.50000	1	1	0	251.5	18.5			251.5	18.5			131.994
WOA13_1.00deg_1955-2012_Annual	1	27223	1	B	1		1	252.50000	1	18.50000	1	1	0	252.5	18.5			252.5	18.5			123.803
WOA13_1.00deg_1955-2012_Annual	1	27224	1	B	1		1	253.50000	1	18.50000	1	1	0	253.5	18.5			253.5	18.5			111.477
WOA13_1.00deg_1955-2012_Annual	1	27225	1	B	1		1	254.50000	1	18.50000	1	1	0	254.5	18.5			254.5	18.5			104.315
WOA13_1.00deg_1955-2012_Annual	1	27226	1	B	1		1	255.50000	1	18.50000	1	1	0	255.5	18.5			255.5	18.5			93.1834
WOA13_1.00deg_1955-2012_Annual	1	27442	1	B	1		1	240.50000	1	19.50000	1	1	0	240.5	19.5			240.5	19.5			295.098
WOA13_1.00deg_1955-2012_Annual	1	27443	1	B	1		1	241.50000	1	19.50000	1	1	0	241.5	19.5			241.5	19.5			283.204
